Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Precautions
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,apply calamine,cover area with bandage,use ice to compress itching,
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,cold baths,anti itch medicine,consult doctor,eat healthy
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,stop irritation,consult nearest hospital,stop taking drug,follow up
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,avoid open cuts,wear ppe if possible,consult doctor,follow up
Diabetes,polyuria,polydipsia,increased_appetite,weight_loss,have balanced diet,exercise,consult doctor,follow up
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,stop eating solid food,take plenty of fluids,avoid fatty food,cover mouth
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,switch to loose cloothing,take deep breaths,get away from trigger,seek help
Hypertension,headache,chest_pain,dizziness,loss_of_balance,meditation,salt baths,reduce stress,get proper sleep
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,meditation,reduce stress,use poloroid glasses in sun,consult doctor
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor
Paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,massage,eat healthy,exercise,consult doctor
Jaundice,itching,vomiting,fatigue,weight_loss,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication
Malaria,chills,vomiting,high_fever,sweating,consult doctor,avoid oily food,avoid non veg food,keep mosquitos out
Chicken pox,itching,skin_rash,fatigue,lethargy,use neem in bathing,consume neem leaves,take vaccine,avoid public places
Dengue,skin_rash,chills,joint_pain,vomiting,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated
Typhoid,chills,vomiting,fatigue,high_fever,eat high calorie vegitables,antiboitic therapy,consult doctor,medication
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,consult doctor,wash hands through,avoid fatty spicy food,medication
Hepatitis B,itching,fatigue,lethargy,yellowish_skin,consult doctor,vaccination,eat healthy,medication
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,consult doctor,vaccination,eat healthy,medication
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,consult doctor,medication,eat healthy,follow up
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,stop alcohol,rest,consult doctor,medication
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,stop alcohol,consume milk thistle,consult doctor,medication
Tuberculosis,chills,vomiting,fatigue,weight_loss,cover mouth,consult doctor,medication,rest
Common Cold,continuous_sneezing,chills,fatigue,cough,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check
Pneumonia,chills,fatigue,cough,high_fever,consult doctor,medication,rest,follow up
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice
Heart attack,vomiting,breathlessness,sweating,chest_pain,call ambulance,chew aspirin,keep calm,
Varicose veins,fatigue,cramps,bruising,obesity,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,reduce stress,exercise,eat healthy,get proper sleep
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,massage,eat healthy,massage,get proper sleep
Hypoglycemia,vomiting,fatigue,anxiety,sweating,lie down on side,check in pulse,drink sugary drinks,consult doctor
Osteoarthristis,joint_pain,neck_pain,knee_pain,hip_joint_pain,acetaminophen,consult doctor,set brace,follow up
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,exercise,use hot and cold therapy,try acupuncture,massage
(vertigo) Paroymsal  Positional Vertigo,vomiting,headache,nausea,spinning_movements,lie down,avoid sudden change in body,avoid abrupt head movment,relax
Acne,skin_rash,pus_filled_pimples,scurring,blackheads,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics
Psoriasis,skin_rash,joint_pain,skin_peeling,silver_like_dusting,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths
Impetigo,skin_rash,high_fever,blister,red_sore_around_nose,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor
